day,mean,std
12,0,0
13,0.00218703,0.00900989
14,0.00398726,0.00808673
15,0.02134344,0.01041576
16,0.02096454,0.01468139
17,0.0022155,0.00772897
18,0.00263789,0.00696819
19,-0.00168507,0.00996136
20,-0.0047566,0.00709192
21,-0.00149784,0.00778463
22,-0.00130962,0.00796338
23,-0.00022388,0.00974807
24,-0.00575097,0.00696449
25,-0.00127921,0.00508861
26,0.00224131,0.00588149
27,0.00591128,0.00692149
28,0.00702872,0.00932952
29,0.00708098,0.00678453
30,0.00287998,0.00946848
31,-0.02478954,0.01595452
1,-0.001851,0.00576046
2,0.00104369,0.00760272
3,-0.00067536,0.01008275
4,0.00585219,0.00844608
5,0.00242498,0.0075415
6,0.00229651,0.00668145
7,-0.00324917,0.00547309
8,0.00211973,0.00584231
9,-4.159e-05,0.00779148
10,-0.0012356,0.00443728
11,-0.00405242,0.0035939
