Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
1557158460000,2019-05-06 16:01:00,ETHUSD,169.92,171.48,169.92,171.48,667.684059
1557158520000,2019-05-06 16:02:00,ETHUSD,171.48,172.13,171.41,172.13,208.485
1557158580000,2019-05-06 16:03:00,ETHUSD,172.13,173.9,172.13,172.97,1311.266228
1557158640000,2019-05-06 16:04:00,ETHUSD,172.97,173.06,172.82,172.82,54
1557158700000,2019-05-06 16:05:00,ETHUSD,172.82,172.82,171.97,172.5,99.63578
1557158760000,2019-05-06 16:06:00,ETHUSD,172.5,172.5,172.13,172.13,95.159421
1557158820000,2019-05-06 16:07:00,ETHUSD,172.13,172.13,171.76,172,16.227337
1557158880000,2019-05-06 16:08:00,ETHUSD,172,172,171.84,172,5.426594
1557158940000,2019-05-06 16:09:00,ETHUSD,172,172.33,172,172.33,1.021584
1557159000000,2019-05-06 16:10:00,ETHUSD,172.33,172.41,171.95,171.95,20.04791906
1557159060000,2019-05-06 16:11:00,ETHUSD,171.95,172.15,171.95,172.15,6.59707544
1557159120000,2019-05-06 16:12:00,ETHUSD,172.15,172.49,172.15,172.49,5.15942
1557159180000,2019-05-06 16:13:00,ETHUSD,172.49,172.5,172.24,172.48,442.665
1557159240000,2019-05-06 16:14:00,ETHUSD,172.48,172.48,172.19,172.19,5
1557159300000,2019-05-06 16:15:00,ETHUSD,172.19,172.19,171.73,171.81,100
1557159360000,2019-05-06 16:16:00,ETHUSD,171.81,172.15,171.73,171.73,316.56688435
1557159420000,2019-05-06 16:17:00,ETHUSD,171.73,171.73,171.34,171.34,115.985703
1557159480000,2019-05-06 16:18:00,ETHUSD,171.34,171.48,171.34,171.48,60.311063
1557159540000,2019-05-06 16:19:00,ETHUSD,171.48,172.12,171.48,172.12,119.234614
1557159600000,2019-05-06 16:20:00,ETHUSD,172.12,173.54,172.12,173.54,21.844641
1557159660000,2019-05-06 16:21:00,ETHUSD,173.54,173.54,172.76,173.05,8.890541
1557159720000,2019-05-06 16:22:00,ETHUSD,173.05,173.77,173.05,173.77,51.147927
1557159780000,2019-05-06 16:23:00,ETHUSD,173.77,174.63,173.77,174.02,410.50171208
1557159840000,2019-05-06 16:24:00,ETHUSD,174.02,174.02,173.85,173.85,51.32411585
1557159900000,2019-05-06 16:25:00,ETHUSD,173.85,174.21,173.74,174.21,73.837285
1557159960000,2019-05-06 16:26:00,ETHUSD,174.21,174.23,173.87,173.87,57.033888
1557160020000,2019-05-06 16:27:00,ETHUSD,173.87,173.93,173.65,173.93,103.899754
1557160080000,2019-05-06 16:28:00,ETHUSD,173.93,174.08,173.78,173.86,516.764656
1557160140000,2019-05-06 16:29:00,ETHUSD,173.86,175.35,173.86,175.35,62.70553
1557160200000,2019-05-06 16:30:00,ETHUSD,175.35,175.63,174.87,174.87,87.066089
1557160260000,2019-05-06 16:31:00,ETHUSD,174.87,174.93,173.97,174.04,51.41116389
1557160320000,2019-05-06 16:32:00,ETHUSD,174.04,174.28,174.04,174.28,2.1
1557160380000,2019-05-06 16:33:00,ETHUSD,174.28,174.28,173.36,173.36,21.156187
1557160440000,2019-05-06 16:34:00,ETHUSD,173.36,173.67,173.36,173.58,10.23
1557160500000,2019-05-06 16:35:00,ETHUSD,173.58,173.58,173.58,173.58,0
1557160560000,2019-05-06 16:36:00,ETHUSD,173.58,173.97,173.55,173.97,30
1557160620000,2019-05-06 16:37:00,ETHUSD,173.97,173.97,173.81,173.9,88.622759
1557160680000,2019-05-06 16:38:00,ETHUSD,173.9,174.14,173.85,174.08,11.060431
1557160740000,2019-05-06 16:39:00,ETHUSD,174.08,174.11,173.77,173.77,5.82962919
1557160800000,2019-05-06 16:40:00,ETHUSD,173.77,173.87,173.77,173.87,8.284876
1557160860000,2019-05-06 16:41:00,ETHUSD,173.87,174.28,173.87,174.28,70.831601
1557160920000,2019-05-06 16:42:00,ETHUSD,174.28,174.65,174.28,174.65,102.343394
1557160980000,2019-05-06 16:43:00,ETHUSD,174.65,174.65,174.15,174.15,51
1557161040000,2019-05-06 16:44:00,ETHUSD,174.15,174.32,174.15,174.32,0.506
1557161100000,2019-05-06 16:45:00,ETHUSD,174.32,174.93,174.32,174.93,86
1557161160000,2019-05-06 16:46:00,ETHUSD,174.93,175.92,174.93,175.81,16.801052
1557161220000,2019-05-06 16:47:00,ETHUSD,175.81,175.83,175.72,175.83,150
1557161280000,2019-05-06 16:48:00,ETHUSD,175.83,175.83,175.09,175.09,80.827904
1557161340000,2019-05-06 16:49:00,ETHUSD,175.09,175.41,174.31,174.31,140.818444
1557161400000,2019-05-06 16:50:00,ETHUSD,174.31,174.61,174.31,174.61,0.04781
1557161460000,2019-05-06 16:51:00,ETHUSD,174.61,174.61,174.21,174.57,97.608369
1557161520000,2019-05-06 16:52:00,ETHUSD,174.57,174.6,174,174,13.659201
1557161580000,2019-05-06 16:53:00,ETHUSD,174,174,173.65,173.66,79.0667
1557161640000,2019-05-06 16:54:00,ETHUSD,173.66,174.08,173.66,174.08,0.134373
1557161700000,2019-05-06 16:55:00,ETHUSD,174.08,174.08,173.37,173.37,106.5962
1557161760000,2019-05-06 16:56:00,ETHUSD,173.37,173.83,173.37,173.69,0.285215
1557161820000,2019-05-06 16:57:00,ETHUSD,173.69,173.69,173.69,173.69,0
1557161880000,2019-05-06 16:58:00,ETHUSD,173.69,173.69,173.53,173.67,2.655313
1557161940000,2019-05-06 16:59:00,ETHUSD,173.67,173.93,173.67,173.89,123.27752949
1557162000000,2019-05-06 17:00:00,ETHUSD,173.89,173.89,173.89,173.89,0
1557162060000,2019-05-06 17:01:00,ETHUSD,173.89,173.9,173.81,173.9,131.695826
1557162120000,2019-05-06 17:02:00,ETHUSD,173.9,174.2,173.9,174.2,43.444793
1557162180000,2019-05-06 17:03:00,ETHUSD,174.2,174.2,174.2,174.2,50
1557162240000,2019-05-06 17:04:00,ETHUSD,174.2,174.2,174.2,174.2,0
1557162300000,2019-05-06 17:05:00,ETHUSD,174.2,174.2,174.18,174.18,129.442598
1557162360000,2019-05-06 17:06:00,ETHUSD,174.18,174.18,174.17,174.17,167.385214
1557162420000,2019-05-06 17:07:00,ETHUSD,174.17,174.17,173.9,173.9,4.90138
1557162480000,2019-05-06 17:08:00,ETHUSD,173.9,173.99,173.81,173.81,14.192317
1557162540000,2019-05-06 17:09:00,ETHUSD,173.81,173.81,173.19,173.19,63.786572
1557162600000,2019-05-06 17:10:00,ETHUSD,173.19,173.19,173.09,173.16,67.74212
1557162660000,2019-05-06 17:11:00,ETHUSD,173.16,173.33,173,173.33,68.62
1557162720000,2019-05-06 17:12:00,ETHUSD,173.33,173.38,173.33,173.38,25.98016
1557162780000,2019-05-06 17:13:00,ETHUSD,173.38,173.39,173.38,173.39,1.803649
